序号,英语,汉语
1,Christina,克里斯蒂娜
2,Walmart,沃尔玛
3,Martin,马丁
4,hanbok,韩服
5,Anping,安平
6,lee,李
7,Theresa,特雷莎
8,May's,梅
9,Fedo,费多
10,Kandahar,坎大哈
11,Pygmalion,马利翁
12,Hamas,哈马斯
13,Sanyinjiao,三阴交
14,Roudong,揉动
15,Erlitou,二里头
16,Nanguo,南果梨
17,Liverpool,利物浦
18,Dengdao,磴道
19,Argentina,阿根廷队
20,Ellie,艾莉
21,Shanghai,上海
22,Michael,麦克尔
23,Ainley,爱恩利
24,Mengniu,蒙牛
25,Yili,伊利
26,Beijing,北京
27,Barnabas,连巴拿巴
28,Sandra,桑德拉
29,Steve,史蒂夫
30,Lucy,露西
31,london,伦敦
32,Shenzhen,深圳
33,Daling,大凌河
34,Huolin,霍林河
35,Cymbalta,欣百达
36,Xinwen,新汶
37,Toledo,托利多
38,Cannes,嘎纳
39,Hamad,哈马德
40,Planck,普朗克
41,Berkeley,伯克利
42,Pattinson,帕丁森
43,Vladivostok,符拉迪沃斯托克
44,Omaha,奥马哈
45,Gilardino,吉拉迪诺
46,Manhattan,曼哈顿
47,Saint,圣特蕾
48,Ryder,莱德
49,Hefei,合肥
50,Daimler,戴姆勒
51,Walton,沃尔顿
52,billy,比利
53,leader,领导人
54,Saudi,沙特
55,Ken,肯
56,Mongolian,蒙古文
57,Wu,吴
58,Wei,魏
59,Walter,沃尔特
60,Wangjialing,王家岭
61,Shanxi,山西
62,Tobin,托宾
63,Austin,奥斯汀
64,Li,李
65,Yulan,玉兰
66,Nissan,尼桑
67,Sanrio,三丽鸥
68,Kitty,凯蒂
69,Obama',奥巴马
70,Odom,奥多姆
71,Michigan,密歇根
72,Atlantis,亚特兰蒂斯
73,Beijing,北京市
74,Qingdao,青岛
75,Yongtai,永泰
76,Dennis's,丹尼斯
77,Alonso,阿隆索
78,Obama's,奥巴马
79,Yankee,洋基
80,Xijiang,西江
81,Khaled,哈立德
82,London,伦敦
83,Uppsala,乌普萨拉
84,titer,滴度
85,Button,巴顿
86,Valparaiso,瓦尔帕莱索
87,Minshan,岷山
88,Doha,多哈
89,Qinglei,清泪
90,Ningbo,宁波
91,Hangzhou,杭州
92,Stone,斯通
93,Weihai,威海
94,Milliband,米利班德
95,Bohai,渤海
96,Hubei,湖北省
97,Beihang`s,北航
98,Baja,巴雅
99,Modena,摩德纳
100,Bond,邦德
101,Palestinian,巴勒斯坦
102,Bahamas,巴哈马
103,Dick,狄克
104,Tarullo,塔鲁洛
105,Allen,埃伦
106,Jiangsu,江苏
107,Osasuna,奥萨苏纳
108,Wudang,武当山
109,Xiangfan,襄樊
110,Sony's,索尼
111,Marty,马田
112,Wangmeng's,王蒙
113,Parker,帕克
114,Anderson,安德森
115,Louise,露易丝
116,Detroit,抵特律
117,Langfang,廊坊市
118,Panyu,番禺
119,Marilyn,玛丽莲
120,Daoguang,道光
121,Klaus,克劳斯
122,Newcastle,纽卡斯尔
123,lawsuits,诉讼
124,Madison,麦迪逊
125,Putin,普金
126,Nancy,南希
127,Peterson,彼得森
128,Xinjiang,新疆
129,Obama,奥巴马
130,Yeltsin's,叶利钦
131,Kyrgyzstan,哈萨克斯坦
132,Pulitzer,普立策
133,Morris,莫里斯
134,Rui,鲁伊
135,Dao,道
136,Jingdezhen,景德镇
137,Sumatra,苏门答腊岛
138,Normandie,诺曼底
139,Highbury,海布里
140,Jiangwan,江湾
141,Ellenbogen's,艾伦伯格
142,Lawrence,劳伦斯
143,Miliband,米利班德
144,Kahlifa,哈利法
145,alThani,阿勒萨尼
146,Solana,索拉纳
147,Hetu,河图
148,Luoshu,洛书
149,Bahraini,巴林
150,Larkins,拉肯斯
151,Pasadena,帕萨迪纳
152,Sachsenring,萨赫森灵
153,Shangshu,尚书
154,Bush,布什
155,Huafu,华福
156,Mahone,马宏
157,Wyatt,怀亚特
158,Zola,佐拉
159,Mamelukes,穆鲁克
160,Oliver,奥立夫
161,Donghe,东河
162,Murdoch,默多克
163,Turin,都灵
164,Sassanid,萨珊
165,Taihu,太湖
166,Jinan,济南
167,Amin,阿明
168,Dirk,德克
169,Dmitry,德米特里
170,Boadicea,博阿迪
171,Norfolk,诺福克
172,Kaplan,卡普兰
173,Tongkeng,铜坑
174,Sawyer,索耶
175,Simon,西蒙
176,Martinez,马丁内斯
177,Overton,奥弗顿
178,sandbody,砂体
179,Kathleen,凯瑟琳
180,Malindi,马林迪
181,Mombasa,蒙巴萨
182,O'Brien,奥布莱恩
183,Wuling,五菱
184,Lianxinggang,连兴港
185,Levi,利未
186,Greenspan,格林斯潘
187,Mike,迈克
188,Rosenthal,罗森塔尔
189,Ali,阿里
190,Basra,巴士拉
191,Madinah,麦地那
192,Manny,曼尼
193,Palpatine,帕尔帕丁
194,Yoda,尤达
195,damon,戴蒙
196,BingYin,丙寅
197,sand,砂层
198,D’Antoni,安东尼
199,Yanshan,燕山
