序号,英语,汉语
1,Radcliffe,克里夫
2,Anping,安平
3,Theresa,特雷莎
4,May's,梅
5,Sanyinjiao,三阴交
6,Ainley,爱恩利
7,Mengniu,蒙牛
8,Yili,伊利
9,Beijing,北京
10,Sandra,桑德拉
11,Lucy,露西
12,london,伦敦
13,Shenzhen,深圳
14,Xinwen,新汶
15,Toledo,托利多
16,Hamad,哈马德
17,Berkeley,伯克利
18,Pattinson,帕丁森
19,Vladivostok,符拉迪沃斯托克
20,Omaha,奥马哈
21,Memphis,孟斐斯
22,Gilardino,吉拉迪诺
23,Manhattan,曼哈顿
24,Hefei,合肥
25,Daimler,戴姆勒
26,Walton,沃尔顿
27,billy,比利
28,Ken,肯
29,Wu,吴
30,Wei,魏
31,Italian,意大利人
32,Walter,沃尔特
33,Wangjialing,王家岭
34,Shanxi,山西
35,Obama',奥巴马
36,Odom,奥多姆
37,Michigan,密歇根
38,Qingdao,青岛
39,Alonso,阿隆索
40,Khaled,哈立德
41,Molly,莫莉
42,Button,巴顿
43,Doha,多哈
44,Ningbo,宁波
45,Weihai,威海
46,Dick,狄克
47,Jiangsu,江苏
48,Osasuna,奥萨苏纳
49,Xiangfan,襄樊
50,Marty,马田
51,Anderson,安德森
52,Langfang,廊坊市
53,Daoguang,道光
54,Nancy,南希
55,Xinjiang,新疆
56,Kyrgyzstan,哈萨克斯坦
57,Morris,莫里斯
58,Jingdezhen,景德镇
59,Miliband,米利班德
60,alThani,阿勒萨尼
61,Bahraini,巴林
62,Pasadena,帕萨迪纳
63,Murdoch,默多克
64,Brooks,布鲁克斯
65,Turin,都灵
66,Suzanne,苏珊
67,Dirk,德克
68,Dmitry,德米特里
69,Norfolk,诺福克
70,Sawyer,索耶
71,Simon,西蒙
72,Martinez,马丁内斯
73,Sebelius,西贝柳斯
74,Mombasa,蒙巴萨
75,O'Brien,奥布莱恩
76,Lianxinggang,连兴港
77,Greenspan,格林斯潘
78,Andre,安德烈
79,Ali,阿里
80,Madinah,麦地那
81,Palpatine,帕尔帕丁
82,Yoda,尤达
83,damon,戴蒙
84,Sofitel,索菲特
85,Stanford,斯坦福
86,lingshan,灵山
87,Yunnan,云南
88,WalMart,沃尔玛
89,Heidegger,海德格尔
90,Sichuan,四川
91,Leslie,莱斯利
92,Xi'an,西安
93,Lampedusa,兰佩杜沙
94,Cagliari,卡利亚里
95,multimedia,多媒体
96,Tang,唐
97,Ladakh,拉达克
98,Chengdu,成都
99,Steven,史蒂文
100,Jemima,杰迈玛
101,Barnes,巴恩思
102,Nolan,诺兰
103,Mogan,摩根
104,Valantine,瓦伦丁
105,Michael,迈克尔
106,Wendy,温迪
107,Nantah,南大
108,Austen,奥斯汀
109,Cusco,库斯科
110,Anthony,安东尼
111,Baidu,百度
112,Darlington,达林顿
113,Luanhe,滦河
114,Benayoun,贝纳永
115,Dynamo,迪纳摩
116,Venezuela,委内瑞拉
117,Qifang,何其芳
118,Eddie,艾迪
119,Lijiang,丽江
120,Ohio,俄亥俄州
121,ouyang,欧阳
122,Sneijder,斯内德
123,Anjouan,昂儒昂
124,Beifa,贝发
125,Huntington,亨廷顿
126,Didion,迪迪翁
127,Newt,纽特
128,Pennington,彭宁顿
129,WuPing,伍苹
130,Benjamite,（便）雅悯（人）
131,Donetsk,顿涅茨克
132,Sendai,仙台
133,Mandela,曼德拉
134,renminbi,人民币
135,Katy,凯蒂
136,Moussavi,穆萨维
137,Tahiti,塔希提
138,Pelosi,佩洛西
139,Saima,赛马
140,Stu,斯图
141,Abdul,阿卜杜勒
142,Yangzhou,扬州
143,Shenzhen,深圳市
144,Texas,德克萨斯
145,Yangshang,洋山港
146,Shenzhou,神州
147,Wuzhou,梧州
148,Spitzer,斯皮策
149,Nick,尼克
150,Xiaogan,孝感
151,Cannings,坎宁
152,Darcy,达西
153,Kunming,昆明
154,Ogden,奥格登
155,Philip,菲利普
156,Sanxingdui,三星堆
157,Shangguan,上官
158,Saleh,萨利赫
159,Saudis,沙特
160,Cantona,坎通纳
161,Peter,彼得
162,Recife,累西腓
163,Ollila,奥利拉
164,LeiJinYi,雷锦仪
165,Watson,沃特森
166,Guilin,桂林
167,Natsuda,那素
168,Omar,奥马尔
169,Ana,安娜
170,Cameron,卡梅伦
171,Malouda,马卢达
172,Palpatine,帕尔帕廷
173,Dameisha,大梅沙
174,Rafa,拉法
175,military,美军
176,Phoebe,菲比
177,Leonardo,莱昂纳多
178,Dandong,丹东
179,Nusrat,努斯拉特
180,Lufeng,禄丰
181,Yunnan,云南省
182,Arlington,阿灵顿
183,Clinton,克林顿
184,Lipu,荔浦
185,Hank,汉克
186,Wuzhen,乌镇
187,Milosevic,米洛舍维奇
188,Yuanpei,蔡元培
189,Saif,赛义夫
190,Tripoli,的黎波里
191,Taiwanese,台湾
192,Austen's,奥斯汀
193,Han,韩
194,Hubble,哈勃
195,Zhenning,杨振宁
196,London,攀升
197,Yishan,高义山
198,Aquinas,阿奎那
199,Shandong,山东
200,Concord,康科德
201,Canini,卡尼尼
202,Seville,塞维利亚
203,Gbowee,古博韦
204,Tilly,特里
205,Andaman,安达曼
206,Mankiewicz,曼凯维支
207,Pine,派恩
208,Kaka,卡卡
209,Panghsang,班康
210,Bartok,巴托克
211,Carter,卡特
212,Steiner,施泰纳
213,Susann,苏珊娜
214,Miley,麦莉
215,Susan,苏珊
216,Sontag,桑塔格
217,Xintiandi,新天地
218,Shaolin,少林
219,Mubarak,穆巴拉克
220,Ferguson,弗格森
221,Olof,奥洛夫
222,Stephen,史蒂芬
223,Tao,道
224,Harvard,哈佛
225,Oden,奥登
226,Kaunas,考那斯
227,Muling,穆棱市
228,Ruonan,杨若楠
229,Lewis,刘易斯
230,Pitt,皮特
231,Aniston,安妮斯顿
232,Appalachia,阿巴拉契亚
233,Sony,索尼
234,Wenger,温格
235,Yifei,刘亦菲
236,Munger,芒格
237,Stefan,斯特凡
238,shanghai,上海
239,Debussy,德彪西
240,Chang'e,嫦娥
241,Suleiman,苏莱曼
242,Dixon,狄克逊
243,Warren,沃伦
244,Hemingway,海明威
245,Huainan,淮南
246,Yingjeou,马英九
247,BYD,比亚迪
248,England's,英格岚
249,Dong,董
250,Youguang,周有光
251,Taihang,太行山
252,Smith,史密斯
253,Elbasan,爱尔巴桑
254,Gansu,甘肃省
255,Mugabe,穆加贝
256,Bcidou,北斗
257,Matthew,马修
258,Carolyn,卡罗琳
259,Lester,莱斯特
260,Siena,锡耶纳
261,Onyango,盎扬戈
262,Langata,兰加塔
263,Manzhouli,满洲里市
264,Peterson,彼德森
265,AlBalawi,巴拉维
266,Moses,梅瑟
267,Dee,迪伊
268,Linda,琳达
269,Ian,艾恩
270,Omaha,俄玛哈
271,manager,温格
272,Qingming,清明
273,Invensys,英维思
274,Wilder,怀尔德
275,Ole,奥立
276,Wayne,韦恩
277,derby,德比
278,Natalie,娜塔莉
279,Mom,妈妈
280,guqin,古琴
281,Ashley,阿什利
282,Lampard,兰帕德
283,Austen’s,奥斯汀
284,Eddie,埃迪
285,Qinghai,青海
286,Norman,诺曼
287,Disney,迪士尼
288,Bohaiwan,渤海湾
289,Romney,罗姆尼
290,Harbin,哈尔滨
291,Vanke,万科
292,Kashan,卡尚
293,Bradley,布拉德利
